[2008-04-30 12:40:03]	SOCKET 连接创建失败
[2008-04-30 12:40:04]	SOCKET 连接创建失败
[2008-04-30 12:40:04]	SOCKET 连接创建失败
[2008-04-30 12:40:05]	SOCKET 连接创建失败
[2008-04-30 12:40:05]	SOCKET 连接创建失败
[2008-04-30 12:40:05]	SOCKET 连接创建失败
[2008-04-30 12:40:06]	SOCKET 连接创建失败
[2008-04-30 12:40:06]	SOCKET 连接创建失败
[2008-04-30 12:40:06]	SOCKET 连接创建失败
[2008-04-30 12:40:07]	SOCKET 连接创建失败
[2008-04-30 12:40:07]	SOCKET 连接创建失败
[2008-04-30 12:40:07]	SOCKET 连接创建失败
[2008-04-30 12:40:08]	SOCKET 连接创建失败
[2008-04-30 12:40:08]	SOCKET 连接创建失败
[2008-04-30 12:40:08]	SOCKET 连接创建失败
[2008-04-30 12:40:08]	SOCKET 连接创建失败
[2008-04-30 12:40:08]	SOCKET 连接创建失败
[2008-04-30 12:40:09]	SOCKET 连接创建失败
[2008-04-30 12:40:09]	SOCKET 连接创建失败
[2008-04-30 12:40:10]	SOCKET 连接创建失败
[2008-04-30 12:40:10]	SOCKET 连接创建失败
[2008-04-30 12:40:10]	SOCKET 连接创建失败
[2008-04-30 12:40:10]	SOCKET 连接创建失败
[2008-04-30 12:40:11]	SOCKET 连接创建失败
[2008-04-30 12:40:11]	SOCKET 连接创建失败
[2008-04-30 12:40:11]	SOCKET 连接创建失败
[2008-04-30 12:40:12]	SOCKET 连接创建失败
[2008-04-30 12:40:12]	SOCKET 连接创建失败
[2008-04-30 12:40:12]	SOCKET 连接创建失败
[2008-04-30 12:40:13]	SOCKET 连接创建失败
[2008-04-30 12:40:14]	SOCKET 连接创建失败
[2008-04-30 12:40:14]	SOCKET 连接创建失败
[2008-04-30 12:40:14]	SOCKET 连接创建失败
[2008-04-30 12:40:14]	SOCKET 连接创建失败
[2008-04-30 12:40:14]	SOCKET 连接创建失败
[2008-04-30 12:40:15]	SOCKET 连接创建失败
[2008-04-30 12:40:15]	SOCKET 连接创建失败
[2008-04-30 12:40:15]	SOCKET 连接创建失败
[2008-04-30 12:40:15]	SOCKET 连接创建失败
[2008-04-30 12:40:16]	SOCKET 连接创建失败
[2008-04-30 12:40:16]	SOCKET 连接创建失败
[2008-04-30 12:40:16]	SOCKET 连接创建失败
[2008-04-30 12:40:16]	SOCKET 连接创建失败
[2008-04-30 12:40:16]	SOCKET 连接创建失败
[2008-04-30 12:40:16]	SOCKET 连接创建失败
[2008-04-30 12:40:17]	SOCKET 连接创建失败
[2008-04-30 12:40:18]	SOCKET 连接创建失败
[2008-04-30 12:40:18]	SOCKET 连接创建失败
[2008-04-30 12:40:18]	SOCKET 连接创建失败
[2008-04-30 12:40:18]	SOCKET 连接创建失败
[2008-04-30 12:40:19]	SOCKET 连接创建失败
[2008-04-30 12:40:19]	SOCKET 连接创建失败
[2008-04-30 12:40:20]	SOCKET 连接创建失败
[2008-04-30 12:40:20]	SOCKET 连接创建失败
[2008-04-30 12:40:20]	SOCKET 连接创建失败
[2008-04-30 12:40:21]	SOCKET 连接创建失败
[2008-04-30 12:40:21]	SOCKET 连接创建失败
[2008-04-30 12:40:21]	SOCKET 连接创建失败
[2008-04-30 12:40:21]	SOCKET 连接创建失败
[2008-04-30 12:40:22]	SOCKET 连接创建失败
[2008-04-30 12:40:22]	SOCKET 连接创建失败
[2008-04-30 12:40:23]	SOCKET 连接创建失败
[2008-04-30 12:40:23]	SOCKET 连接创建失败
[2008-04-30 12:40:23]	SOCKET 连接创建失败
[2008-04-30 12:40:24]	SOCKET 连接创建失败
[2008-04-30 12:40:24]	SOCKET 连接创建失败
[2008-04-30 12:40:24]	SOCKET 连接创建失败
[2008-04-30 12:40:25]	SOCKET 连接创建失败
[2008-04-30 12:40:25]	SOCKET 连接创建失败
[2008-04-30 12:40:25]	SOCKET 连接创建失败
[2008-04-30 12:40:25]	SOCKET 连接创建失败
[2008-04-30 12:40:25]	SOCKET 连接创建失败
[2008-04-30 12:40:26]	SOCKET 连接创建失败
[2008-04-30 12:40:26]	SOCKET 连接创建失败
[2008-04-30 12:40:27]	SOCKET 连接创建失败
[2008-04-30 12:40:27]	SOCKET 连接创建失败
[2008-04-30 12:40:27]	SOCKET 连接创建失败
[2008-04-30 12:40:28]	SOCKET 连接创建失败
[2008-04-30 12:40:28]	SOCKET 连接创建失败
[2008-04-30 12:40:28]	SOCKET 连接创建失败
[2008-04-30 12:40:29]	SOCKET 连接创建失败
[2008-04-30 12:40:29]	SOCKET 连接创建失败
[2008-04-30 12:40:29]	SOCKET 连接创建失败
[2008-04-30 12:40:30]	SOCKET 连接创建失败
[2008-04-30 12:40:30]	SOCKET 连接创建失败
[2008-04-30 12:40:31]	SOCKET 连接创建失败
[2008-04-30 12:40:31]	SOCKET 连接创建失败
[2008-04-30 12:40:31]	SOCKET 连接创建失败
[2008-04-30 12:40:31]	SOCKET 连接创建失败
[2008-04-30 12:40:32]	SOCKET 连接创建失败
[2008-04-30 12:40:32]	SOCKET 连接创建失败
[2008-04-30 12:40:32]	SOCKET 连接创建失败
[2008-04-30 12:40:32]	SOCKET 连接创建失败
[2008-04-30 12:40:32]	SOCKET 连接创建失败
[2008-04-30 12:40:32]	SOCKET 连接创建失败
[2008-04-30 12:40:33]	SOCKET 连接创建失败
[2008-04-30 12:40:33]	SOCKET 连接创建失败
[2008-04-30 12:40:34]	SOCKET 连接创建失败
[2008-04-30 12:40:34]	SOCKET 连接创建失败
[2008-04-30 12:40:34]	SOCKET 连接创建失败
[2008-04-30 12:40:34]	SOCKET 连接创建失败
[2008-04-30 12:40:35]	SOCKET 连接创建失败
[2008-04-30 12:40:36]	SOCKET 连接创建失败
[2008-04-30 12:40:36]	SOCKET 连接创建失败
[2008-04-30 12:40:36]	SOCKET 连接创建失败
[2008-04-30 12:40:36]	SOCKET 连接创建失败
[2008-04-30 12:40:36]	SOCKET 连接创建失败
[2008-04-30 12:40:37]	SOCKET 连接创建失败
[2008-04-30 12:40:37]	SOCKET 连接创建失败
[2008-04-30 12:40:38]	SOCKET 连接创建失败
[2008-04-30 12:40:38]	SOCKET 连接创建失败
[2008-04-30 12:40:38]	SOCKET 连接创建失败
[2008-04-30 12:40:39]	SOCKET 连接创建失败
[2008-04-30 12:40:39]	SOCKET 连接创建失败
[2008-04-30 12:40:39]	SOCKET 连接创建失败
[2008-04-30 12:40:39]	SOCKET 连接创建失败
[2008-04-30 12:40:40]	SOCKET 连接创建失败
[2008-04-30 12:40:40]	SOCKET 连接创建失败
[2008-04-30 12:40:41]	SOCKET 连接创建失败
[2008-04-30 12:40:41]	SOCKET 连接创建失败
[2008-04-30 12:40:41]	SOCKET 连接创建失败
[2008-04-30 12:40:41]	SOCKET 连接创建失败
[2008-04-30 12:40:41]	SOCKET 连接创建失败
[2008-04-30 12:40:41]	SOCKET 连接创建失败
[2008-04-30 12:40:42]	SOCKET 连接创建失败
[2008-04-30 12:40:42]	SOCKET 连接创建失败
[2008-04-30 12:40:42]	SOCKET 连接创建失败
[2008-04-30 12:40:43]	SOCKET 连接创建失败
[2008-04-30 12:40:43]	SOCKET 连接创建失败
[2008-04-30 12:40:43]	SOCKET 连接创建失败
[2008-04-30 12:40:44]	SOCKET 连接创建失败
[2008-04-30 12:40:46]	SOCKET 连接创建失败
[2008-04-30 12:40:46]	SOCKET 连接创建失败
[2008-04-30 12:40:46]	SOCKET 连接创建失败
[2008-04-30 12:40:46]	SOCKET 连接创建失败
[2008-04-30 12:40:46]	SOCKET 连接创建失败
[2008-04-30 12:40:47]	SOCKET 连接创建失败
[2008-04-30 12:40:47]	SOCKET 连接创建失败
[2008-04-30 12:40:47]	SOCKET 连接创建失败
[2008-04-30 12:40:48]	SOCKET 连接创建失败
[2008-04-30 12:40:48]	SOCKET 连接创建失败
[2008-04-30 12:40:48]	SOCKET 连接创建失败
[2008-04-30 12:40:48]	SOCKET 连接创建失败
[2008-04-30 12:40:48]	SOCKET 连接创建失败
[2008-04-30 12:40:49]	SOCKET 连接创建失败
[2008-04-30 12:40:49]	SOCKET 连接创建失败
[2008-04-30 12:40:50]	SOCKET 连接创建失败
[2008-04-30 12:40:50]	SOCKET 连接创建失败
[2008-04-30 12:40:50]	SOCKET 连接创建失败
[2008-04-30 12:40:50]	SOCKET 连接创建失败
[2008-04-30 12:40:51]	SOCKET 连接创建失败
[2008-04-30 12:40:52]	SOCKET 连接创建失败
[2008-04-30 12:40:52]	svrpackmonitor -- interval is 1
[2008-04-30 12:40:52]	SOCKET 连接创建失败
[2008-04-30 12:40:52]	SOCKET 连接创建失败
[2008-04-30 12:40:52]	SOCKET 连接创建失败
[2008-04-30 12:40:52]	SOCKET 连接创建失败
[2008-04-30 12:40:53]	SOCKET 连接创建失败
[2008-04-30 12:40:53]	SOCKET 连接创建失败
[2008-04-30 12:40:53]	SOCKET 连接创建失败
[2008-04-30 12:40:53]	SOCKET 连接创建失败
[2008-04-30 12:40:54]	SOCKET 连接创建失败
[2008-04-30 12:40:54]	SOCKET 连接创建失败
[2008-04-30 12:40:55]	SOCKET 连接创建失败
[2008-04-30 12:40:55]	SOCKET 连接创建失败
[2008-04-30 12:40:55]	SOCKET 连接创建失败
[2008-04-30 12:40:56]	SOCKET 连接创建失败
[2008-04-30 12:40:56]	SOCKET 连接创建失败
[2008-04-30 12:40:56]	SOCKET 连接创建失败
[2008-04-30 12:40:57]	SOCKET 连接创建失败
[2008-04-30 12:40:57]	SOCKET 连接创建失败
[2008-04-30 12:40:57]	SOCKET 连接创建失败
[2008-04-30 12:40:57]	SOCKET 连接创建失败
[2008-04-30 12:40:57]	SOCKET 连接创建失败
[2008-04-30 12:40:57]	SOCKET 连接创建失败
[2008-04-30 12:40:58]	SOCKET 连接创建失败
[2008-04-30 12:40:58]	SOCKET 连接创建失败
[2008-04-30 12:40:59]	SOCKET 连接创建失败
[2008-04-30 12:40:59]	SOCKET 连接创建失败
[2008-04-30 12:40:59]	SOCKET 连接创建失败
[2008-04-30 12:40:59]	SOCKET 连接创建失败
[2008-04-30 12:41:01]	SOCKET 连接创建失败
[2008-04-30 12:41:01]	SOCKET 连接创建失败
[2008-04-30 12:41:01]	SOCKET 连接创建失败
[2008-04-30 12:41:01]	SOCKET 连接创建失败
[2008-04-30 12:41:02]	SOCKET 连接创建失败
[2008-04-30 12:41:02]	SOCKET 连接创建失败
[2008-04-30 12:41:02]	SOCKET 连接创建失败
[2008-04-30 12:41:03]	SOCKET 连接创建失败
[2008-04-30 12:41:03]	SOCKET 连接创建失败
[2008-04-30 12:41:03]	SOCKET 连接创建失败
[2008-04-30 12:41:04]	SOCKET 连接创建失败
[2008-04-30 12:41:04]	SOCKET 连接创建失败
[2008-04-30 12:41:04]	SOCKET 连接创建失败
[2008-04-30 12:41:04]	SOCKET 连接创建失败
[2008-04-30 12:41:05]	SOCKET 连接创建失败
[2008-04-30 12:41:05]	SOCKET 连接创建失败
[2008-04-30 12:41:05]	SOCKET 连接创建失败
[2008-04-30 12:41:05]	SOCKET 连接创建失败
[2008-04-30 12:41:06]	SOCKET 连接创建失败
[2008-04-30 12:41:06]	SOCKET 连接创建失败
[2008-04-30 12:41:06]	SOCKET 连接创建失败
[2008-04-30 12:41:06]	SOCKET 连接创建失败
[2008-04-30 12:41:06]	SOCKET 连接创建失败
[2008-04-30 12:41:07]	SOCKET 连接创建失败
[2008-04-30 12:41:07]	SOCKET 连接创建失败
[2008-04-30 12:41:07]	SOCKET 连接创建失败
[2008-04-30 12:41:08]	SOCKET 连接创建失败
[2008-04-30 12:41:08]	SOCKET 连接创建失败
[2008-04-30 12:41:08]	SOCKET 连接创建失败
[2008-04-30 12:41:08]	SOCKET 连接创建失败
[2008-04-30 12:41:09]	SOCKET 连接创建失败
[2008-04-30 12:41:09]	SOCKET 连接创建失败
